total_time_seconds,tokens_per_second,peak_vram_mb,kv_cache_method,perplexity,sample_id,dataset,baseline,window_size,max_new_tokens,rouge1,rouge2,rougeL,f1,exact_match
0.025832554572843947,38.710844379720534,256,2249.07666015625,3.635373592376709,govreport_0,govreport,full,N/A,256,0.3101449275362319,0.13953488372093023,0.17971014492753623,0.10472972972972973,0.0
0.024533723670174368,40.76022105098132,256,2249.07958984375,6.902263164520264,govreport_1,govreport,full,N/A,256,0.28208092485549136,0.09269988412514485,0.16647398843930636,0.08461538461538462,0.0
0.024474659046973102,40.85858757340584,256,2249.07666015625,6.2724175453186035,govreport_2,govreport,full,N/A,256,0.27633378932968533,0.12894375857338822,0.16142270861833105,0.13230769230769232,0.0
0.02450559525459539,40.80700711860798,256,2249.07861328125,4.434996604919434,govreport_3,govreport,full,N/A,256,0.24279210925644917,0.0821917808219178,0.15174506828528073,0.10543657331136737,0.0
0.024480784850311466,40.848363568183444,256,2249.11279296875,9.151137351989746,govreport_4,govreport,full,N/A,256,0.2835820895522388,0.06483790523690773,0.15174129353233828,0.10393258426966291,0.0
0.02450217596197035,40.81270175971688,256,2248.91259765625,11.400935173034668,govreport_5,govreport,full,N/A,256,0.39142091152815006,0.1424731182795699,0.193029490616622,0.14479638009049775,0.0
0.02449562039691955,40.8236241334698,256,2248.98779296875,13.423174858093262,govreport_6,govreport,full,N/A,256,0.246119733924612,0.07555555555555556,0.12195121951219512,0.11152416356877323,0.0
0.024511893032467924,40.79652267882459,256,2249.11767578125,9.261401176452637,govreport_7,govreport,full,N/A,256,0.19260533104041275,0.08613264427217916,0.12725709372312982,0.0765639589169001,0.0
0.024501398744178005,40.81399639429234,256,2249.02587890625,5.660393714904785,govreport_8,govreport,full,N/A,256,0.2888198757763975,0.04049844236760125,0.15838509316770186,0.08741258741258742,0.0
0.024469110168865882,40.86785310535667,256,2249.15283203125,2.457162618637085,govreport_9,govreport,full,N/A,256,0.18840579710144928,0.07267441860465115,0.10434782608695653,0.1103202846975089,0.0
0.024531373841455206,40.764125420082046,256,2248.91259765625,2.878779411315918,govreport_10,govreport,full,N/A,256,0.19444444444444445,0.06329113924050633,0.13131313131313133,0.049999999999999996,0.0
0.024480341162416153,40.849103914256986,256,2249.03662109375,10.266839027404785,govreport_11,govreport,full,N/A,256,0.3210884353741496,0.1418826739427012,0.14149659863945577,0.13215859030837004,0.0
0.02449601471016649,40.82296699409532,256,2249.17724609375,11.114822387695312,govreport_12,govreport,full,N/A,256,0.2747875354107649,0.05681818181818182,0.1388101983002833,0.10015649452269172,0.0
0.024494269426213577,40.82587574258523,256,2249.02490234375,9.19343090057373,govreport_13,govreport,full,N/A,256,0.29882044560943644,0.17871222076215504,0.20969855832241152,0.12553495007132667,0.0
0.02448434752295725,40.84241979747961,256,2249.00634765625,7.905900001525879,govreport_14,govreport,full,N/A,256,0.33150684931506846,0.11538461538461536,0.1917808219178082,0.09939759036144578,0.0
0.024528079651645385,40.76960015632199,256,2249.02587890625,18.04066276550293,govreport_15,govreport,full,N/A,256,0.2546972860125261,0.1087866108786611,0.14822546972860123,0.11866501854140915,0.0
0.02446876211615745,40.86843442479137,256,2249.11376953125,11.079880714416504,govreport_16,govreport,full,N/A,256,0.2072892938496583,0.0684931506849315,0.1275626423690205,0.10565110565110566,0.0
0.02446459175553173,40.87540106913447,256,2248.93896484375,12.855680465698242,govreport_17,govreport,full,N/A,256,0.3866057838660578,0.22900763358778628,0.228310502283105,0.1687170474516696,0.0
0.02454086246143561,40.748364144554245,256,2249.15673828125,4.0811662673950195,govreport_18,govreport,full,N/A,256,0.2640586797066014,0.06862745098039216,0.156479217603912,0.06806282722513089,0.0
0.02587540252980861,38.64674177910834,132,2248.92919921875,6.735991477966309,govreport_19,govreport,full,N/A,256,0.24324324324324326,0.10240963855421686,0.13813813813813813,0.11333333333333334,0.0
0.02449147634615656,40.830531645632284,256,2249.04833984375,11.773992538452148,govreport_20,govreport,full,N/A,256,0.28021978021978017,0.10743801652892564,0.16758241758241757,0.09638554216867469,0.0
0.024527707311790437,40.770219054240805,256,2249.02587890625,5.725042343139648,govreport_21,govreport,full,N/A,256,0.25653206650831356,0.1119047619047619,0.15914489311163896,0.08300907911802854,0.0
0.024468971212627366,40.86808518880204,256,2249.04345703125,4.834969520568848,govreport_22,govreport,full,N/A,256,0.30173564753004006,0.11512717536813921,0.17356475300400534,0.08442503639010189,0.0
0.024475472877384163,40.85722899041597,256,2249.12548828125,6.928189277648926,govreport_23,govreport,full,N/A,256,0.20450885668276975,0.048387096774193554,0.10628019323671499,0.058201058201058205,0.0
0.024467869559885003,40.86992525248283,256,2249.02490234375,6.484162330627441,govreport_24,govreport,full,N/A,256,0.3319268635724332,0.15232722143864597,0.17158931082981715,0.1178294573643411,0.0
0.02451786158781033,40.78659129461662,256,2249.11181640625,12.683647155761719,govreport_25,govreport,full,N/A,256,0.33383915022761756,0.16133942161339423,0.20333839150227617,0.17537942664418213,0.0
0.024548945802962407,40.73494674786917,256,2249.21337890625,2.401844024658203,govreport_26,govreport,full,N/A,256,0.24680851063829784,0.04836415362731152,0.15886524822695033,0.05581395348837209,0.0
0.024514374366845004,40.79239327243332,256,2249.13623046875,4.57241678237915,govreport_27,govreport,full,N/A,256,0.24623803009575923,0.04663923182441701,0.13953488372093023,0.06106870229007634,0.0
0.024481061642291024,40.84790172140657,256,2248.95751953125,18.276561737060547,govreport_28,govreport,full,N/A,256,0.3732503888024883,0.13104524180967236,0.16485225505443235,0.15959252971137522,0.0
0.024495838908478618,40.8232599722835,256,2249.13720703125,15.317625045776367,govreport_29,govreport,full,N/A,256,0.25,0.04087193460490463,0.1358695652173913,0.08504398826979473,0.0
0.024468220202834345,40.86933956414869,256,2249.01025390625,2.956829071044922,govreport_30,govreport,full,N/A,256,0.2164090368608799,0.052443384982121574,0.12604042806183116,0.07142857142857142,0.0
0.024516434015822597,40.78896626461306,256,2248.96923828125,9.988824844360352,govreport_31,govreport,full,N/A,256,0.21515892420537902,0.053921568627450976,0.11246943765281174,0.08412483039348712,0.0
0.024519553524442017,40.78377687436936,256,2248.98779296875,8.581218719482422,govreport_32,govreport,full,N/A,256,0.3045161290322581,0.11901681759379043,0.16258064516129034,0.12553495007132667,0.0
0.02449093981704209,40.831426130251934,256,2248.99267578125,13.166387557983398,govreport_33,govreport,full,N/A,256,0.29914529914529914,0.15714285714285714,0.15669515669515668,0.13548387096774195,0.0
0.024475683443597518,40.85687749248879,256,2249.05712890625,6.844613075256348,govreport_34,govreport,full,N/A,256,0.2749638205499277,0.10449927431059507,0.15629522431259044,0.10559006211180126,0.0
0.024500576852005906,40.81536553365388,256,2248.98291015625,10.215841293334961,govreport_35,govreport,full,N/A,256,0.27926657263751764,0.099009900990099,0.16925246826516221,0.10526315789473685,0.0
0.02447641667095013,40.85565356414493,256,2248.91455078125,10.32297420501709,govreport_36,govreport,full,N/A,256,0.4401709401709402,0.11587982832618025,0.2094017094017094,0.18048780487804877,0.0
0.02449131313187536,40.83080374724798,256,2248.94677734375,6.581428527832031,govreport_37,govreport,full,N/A,256,0.31845238095238093,0.07761194029850745,0.15476190476190474,0.07876712328767124,0.0
0.02452380521572195,40.77670619235349,256,2249.07861328125,5.4847092628479,govreport_38,govreport,full,N/A,256,0.35504469987228604,0.14852752880921896,0.19412515964240104,0.10914454277286136,0.0
0.02448473391996231,40.841775257549514,256,2248.97314453125,10.684419631958008,govreport_39,govreport,full,N/A,256,0.3698630136986301,0.18681318681318682,0.1726027397260274,0.1592920353982301,0.0
0.024506296933395788,40.805838708224286,256,2248.94677734375,8.351320266723633,govreport_40,govreport,full,N/A,256,0.26721763085399447,0.06077348066298342,0.1515151515151515,0.0879120879120879,0.0
