prefill_time_s,prefill_peak_alloc_MB,prefill_peak_reserved_MB,decode_time_s,decode_peak_alloc_MB,decode_peak_reserved_MB,tokens_generated,total_time_s,tokens_per_second,latency_per_token,input_tokens,perplexity,rouge1,rouge2,rougeL,f1,exact_match,sample_id,baseline,model,max_new_tokens,streaming_start_size,streaming_recent_size
6.706,10747.18,11212.0,34.383,7879.61,9080.0,256,41.089000000000006,7.45,0.1343,4179,1.3638150691986084,0.0,0.0,0,0.0,0.0,govreport_19,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.39,13031.21,14020.0,34.347,7034.21,10934.0,256,48.737,7.45,0.1342,7000,50.645503997802734,0.30311231393775373,0.07055630936227951,0.17050067658998647,0.08108108108108107,0.0,govreport_20,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.386,13031.21,14020.0,34.352,7034.21,10934.0,256,48.738,7.45,0.1342,7000,2.2563095092773438,0.056782334384858045,0.0,0.056782334384858045,0.00223463687150838,0.0,govreport_21,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.403,13031.21,14020.0,34.364,7034.21,10934.0,256,48.766999999999996,7.45,0.1342,7000,54.08122253417969,0.2741514360313316,0.10209424083769633,0.16449086161879894,0.07058823529411765,0.0,govreport_22,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.405,13031.21,14020.0,34.334,7034.21,10934.0,256,48.739000000000004,7.46,0.1341,7000,79.92347717285156,0.1744647105471848,0.020651310563939634,0.10309278350515463,0.02756244616709733,0.0,govreport_23,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.384,13031.21,14020.0,34.377,7034.21,10934.0,256,48.761,7.45,0.1343,7000,247.35691833496094,0.2758620689655172,0.08852005532503458,0.15448275862068966,0.0816944024205749,0.0,govreport_24,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.417,13031.21,14020.0,34.474,7034.21,10934.0,256,48.891,7.43,0.1347,7000,95.29534912109375,0.2518301610541727,0.02936857562408223,0.14934114202049778,0.061788617886178863,0.0,govreport_25,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.408,13031.21,14020.0,34.336,7034.21,10934.0,256,48.744,7.46,0.1341,7000,60.56650924682617,0.2987551867219917,0.0915395284327323,0.16874135546334718,0.09090909090909091,0.0,govreport_26,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.391,13031.21,14020.0,34.321,7034.21,10934.0,256,48.711999999999996,7.46,0.1341,7000,131.74917602539062,0.21233859397417504,0.017266187050359712,0.1406025824964132,0.042139384116693684,0.0,govreport_27,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
12.916,13031.19,14018.0,34.354,6419.59,10934.0,256,47.269999999999996,7.45,0.1342,6012,1.3638150691986084,0.0,0.0,0,0.0,0.0,govreport_28,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
14.393,13031.21,14020.0,34.347,7034.21,10934.0,256,48.74,7.45,0.1342,7000,252.93801879882812,0.24484181568088037,0.07448275862068963,0.1595598349381018,0.10432190760059613,0.0,govreport_29,streamingllm,togethercomputer/LLaMA-2-7B-32K-Instruct,256,4,1020
