tokens_generated,total_time_seconds,tokens_per_second,peak_vram_mb,kv_cache_method,perplexity,sample_id,dataset,baseline,window_size,max_new_tokens,exact_match,f1
64,2.530568838119507,25.290756384860526,339.1796875,full,10.578577041625977,narrativeqa_0,narrativeqa,full,N/A,64,0.0,0.30434782608695654
64,2.116553783416748,30.237833076315663,339.96484375,full,8.591432571411133,narrativeqa_1,narrativeqa,full,N/A,64,0.0,0.1276595744680851
64,2.11885404586792,30.205006392398527,340.0478515625,full,14.184416770935059,narrativeqa_2,narrativeqa,full,N/A,64,0.0,0.1754385964912281
64,2.1170575618743896,30.23063763242035,339.1796875,full,6.804428577423096,narrativeqa_3,narrativeqa,full,N/A,64,0.0,0.05882352941176471
64,2.114871025085449,30.261892683225987,340.0263671875,full,11.446097373962402,narrativeqa_4,narrativeqa,full,N/A,64,0.0,0.22727272727272727
64,2.1133711338043213,30.283370003636005,339.9853515625,full,20.470460891723633,narrativeqa_5,narrativeqa,full,N/A,64,0.0,0.33333333333333337
28,0.9892399311065674,28.304559004890855,339.9853515625,full,15.38436222076416,narrativeqa_6,narrativeqa,full,N/A,64,0.0,0.6666666666666667
64,2.120631217956543,30.179693413016388,339.1416015625,full,12.468729972839355,narrativeqa_7,narrativeqa,full,N/A,64,0.0,0.16666666666666669
48,1.6196544170379639,29.63595165429349,339.943359375,full,18.17283058166504,narrativeqa_8,narrativeqa,full,N/A,64,0.0,0.2162162162162162
15,0.5821592807769775,25.76614424145276,339.96484375,full,162.27169799804688,narrativeqa_9,narrativeqa,full,N/A,64,0.0,0.14285714285714285
26,0.9287240505218506,27.99539861748017,339.9853515625,full,23.929664611816406,narrativeqa_10,narrativeqa,full,N/A,64,0.0,0.4444444444444445
21,0.7722046375274658,27.19486387344193,340.068359375,full,25.645488739013672,narrativeqa_11,narrativeqa,full,N/A,64,0.0,0.33333333333333337
64,2.1231820583343506,30.143434826407866,340.005859375,full,12.801258087158203,narrativeqa_12,narrativeqa,full,N/A,64,0.0,0.0
60,1.9993741512298584,30.009390670121796,339.96484375,full,9.014365196228027,narrativeqa_13,narrativeqa,full,N/A,64,0.0,0.1111111111111111
20,0.739393949508667,27.04917995784271,340.0263671875,full,42.900001525878906,narrativeqa_14,narrativeqa,full,N/A,64,0.0,0.17391304347826086
15,0.5835766792297363,25.703563102964498,340.068359375,full,57.62211608886719,narrativeqa_15,narrativeqa,full,N/A,64,0.0,0.19999999999999998
64,2.1246519088745117,30.122581366235476,339.96484375,full,23.284137725830078,narrativeqa_16,narrativeqa,full,N/A,64,0.0,0.1904761904761905
64,2.1253881454467773,30.112146874022663,340.0263671875,full,24.06918716430664,narrativeqa_17,narrativeqa,full,N/A,64,0.0,0.0
14,0.5508542060852051,25.415073254127982,340.0263671875,full,97.08369445800781,narrativeqa_18,narrativeqa,full,N/A,64,0.0,0.25
18,0.6760063171386719,26.626970109079007,339.943359375,full,24.62432861328125,narrativeqa_19,narrativeqa,full,N/A,64,0.0,0.33333333333333337
17,0.6457874774932861,26.324449749301216,339.96484375,full,37.38856887817383,narrativeqa_20,narrativeqa,full,N/A,64,0.0,0.42857142857142855
24,0.864605188369751,27.758334466223825,340.0478515625,full,31.294208526611328,narrativeqa_21,narrativeqa,full,N/A,64,0.0,0.38095238095238093
28,0.9942803382873535,28.16107180418549,339.71240234375,full,30.517438888549805,narrativeqa_22,narrativeqa,full,N/A,64,0.0,0.0
36,1.2430126667022705,28.96189312013086,340.005859375,full,28.77814483642578,narrativeqa_23,narrativeqa,full,N/A,64,0.0,0.2
45,1.524526596069336,29.517359760087377,339.943359375,full,16.962038040161133,narrativeqa_24,narrativeqa,full,N/A,64,0.0,0.1739130434782609
64,2.123868227005005,30.13369623700726,339.943359375,full,23.380205154418945,narrativeqa_25,narrativeqa,full,N/A,64,0.0,0.18604651162790695
64,2.1257383823394775,30.10718559334894,340.005859375,full,23.533700942993164,narrativeqa_26,narrativeqa,full,N/A,64,0.0,0.1
51,1.7169132232666016,29.704471553295704,340.068359375,full,7.503246784210205,narrativeqa_27,narrativeqa,full,N/A,64,0.0,0.0625
64,2.1274962425231934,30.08230929897978,340.068359375,full,10.02595043182373,narrativeqa_28,narrativeqa,full,N/A,64,0.0,0.0
64,2.05373477935791,31.16273855965437,316.36962890625,full,21.86858367919922,narrativeqa_29,narrativeqa,full,N/A,64,0.0,0.05714285714285715
64,2.053100109100342,31.172371827521104,316.27001953125,full,8.275712966918945,narrativeqa_30,narrativeqa,full,N/A,64,0.0,0.06666666666666667
64,2.0537939071655273,31.161841398355,316.27001953125,full,12.261710166931152,narrativeqa_31,narrativeqa,full,N/A,64,0.0,0.0689655172413793
64,2.0540316104888916,31.158235186442433,316.87060546875,full,19.20374870300293,narrativeqa_32,narrativeqa,full,N/A,64,0.0,0.0
64,2.05122971534729,31.20079604987795,316.31982421875,full,13.974432945251465,narrativeqa_33,narrativeqa,full,N/A,64,0.0,0.08695652173913045
64,2.054133653640747,31.156687339485618,316.47021484375,full,9.847039222717285,narrativeqa_34,narrativeqa,full,N/A,64,0.0,0.0
64,2.0540974140167236,31.157237024533316,316.36962890625,full,10.566356658935547,narrativeqa_35,narrativeqa,full,N/A,64,0.0,0.09523809523809523
10,0.35539770126342773,28.137492067197712,316.22021484375,full,205.15420532226562,narrativeqa_36,narrativeqa,full,N/A,64,0.0,0.5
64,2.0565221309661865,31.120501470087166,316.31982421875,full,17.814861297607422,narrativeqa_37,narrativeqa,full,N/A,64,0.0,0.0
64,2.0548648834228516,31.145600139602966,316.16943359375,full,4.894299507141113,narrativeqa_38,narrativeqa,full,N/A,64,0.0,0.0909090909090909
64,2.056328296661377,31.12343496119244,316.72021484375,full,8.934309959411621,narrativeqa_39,narrativeqa,full,N/A,64,0.0,0.11538461538461539
