tokens_per_second,tokens_generated,peak_vram_mb,perplexity,rouge1,rouge2,rougeL,sample_id,baseline,model,max_new_tokens
20.293016305268342,256,1560.2060546875,4.9195404052734375,0.2755417956656347,0.08695652173913043,0.17647058823529413,govreport_0,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
27.380505975450262,256,1560.4560546875,7.054172039031982,0.21067031463748292,0.019204389574759947,0.12585499316005472,govreport_1,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
27.63882055287285,256,1560.4560546875,6.604308605194092,0.23907455012853474,0.06701030927835053,0.14395886889460152,govreport_2,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.256931472621226,256,1560.4560546875,8.686348915100098,0.23949044585987259,0.05874840357598979,0.12484076433121019,govreport_3,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
26.514325906892548,169,1560.4560546875,4.982771873474121,0.2031063321385902,0.05748502994011976,0.11708482676224612,govreport_4,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.48708537933682,256,1560.4560546875,5.748744487762451,0.16943521594684385,0.03666666666666667,0.10299003322259137,govreport_5,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.315473049680293,256,1560.4560546875,5.530349254608154,0.29210134128166915,0.12556053811659193,0.17883755588673622,govreport_6,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
27.943174506543834,256,1560.4560546875,6.7026777267456055,0.22626262626262628,0.10121457489878541,0.16767676767676767,govreport_7,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.629661495877958,256,1560.4560546875,6.5109028816223145,0.26210826210826216,0.06857142857142857,0.14814814814814817,govreport_8,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.946827295272218,256,1560.4560546875,5.8834919929504395,0.20757363253856945,0.030942334739803092,0.12342215988779805,govreport_9,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
27.97003356677866,256,1560.4560546875,7.165174961090088,0.33642384105960266,0.12483399734395749,0.18013245033112582,govreport_10,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.546853210673117,256,1560.4560546875,6.214317321777344,0.2791327913279133,0.07065217391304347,0.14363143631436312,govreport_11,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.742810662706297,256,1560.4560546875,5.939172267913818,0.18778280542986425,0.031746031746031744,0.11764705882352941,govreport_12,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
27.553254847316005,256,1560.4560546875,8.046558380126953,0.19081272084805656,0.03778040141676505,0.10129564193168433,govreport_13,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.016598088630666,256,1560.4560546875,5.391551494598389,0.22171428571428572,0.057273768613974804,0.1257142857142857,govreport_14,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.464396262611057,256,1560.4560546875,7.715180397033691,0.14345991561181434,0.02959830866807611,0.09071729957805907,govreport_15,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.774156269638056,256,1560.4560546875,5.930938720703125,0.22663551401869161,0.053864168618266976,0.14018691588785048,govreport_16,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.06671551553963,256,1560.4560546875,8.176363945007324,0.18181818181818182,0.02531645569620253,0.12373737373737374,govreport_17,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.326076967048248,256,1560.4560546875,6.020872116088867,0.2563451776649746,0.055979643765903316,0.14720812182741116,govreport_18,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.934717638028957,256,1560.4560546875,7.177542209625244,0.2961832061068702,0.07963246554364471,0.21984732824427483,govreport_19,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.337567208967737,256,1560.4560546875,6.103734493255615,0.16592920353982302,0.024390243902439025,0.10619469026548674,govreport_20,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.106178241133122,256,1560.4560546875,6.906076431274414,0.22346368715083803,0.07838745800671892,0.12290502793296089,govreport_21,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.78549265536081,256,1560.4560546875,4.176712989807129,0.25059101654846333,0.09478672985781991,0.13947990543735223,govreport_22,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
29.017212717707455,256,1560.4560546875,5.135002136230469,0.25662482566248257,0.07832167832167833,0.14783821478382148,govreport_23,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.92815079253217,256,1560.4560546875,5.8607707023620605,0.12203389830508475,0.013590033975084938,0.08361581920903956,govreport_24,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.600477716601112,256,1560.4560546875,5.3175368309021,0.273542600896861,0.10337078651685394,0.14573991031390135,govreport_25,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
28.46339071696555,256,1560.4560546875,5.487366199493408,0.18696883852691218,0.017045454545454548,0.11048158640226628,govreport_26,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
29.200580852587002,256,1560.4560546875,5.254229545593262,0.21675977653631284,0.051511758118701005,0.11173184357541899,govreport_27,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
29.11491260473235,256,1560.4560546875,7.452289581298828,0.3862332695984704,0.10748560460652593,0.15678776290630975,govreport_28,full_kv,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256
